
YOUTUBE油管新聞|,#genre#
中天新闻(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/161.ts
东森新闻台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/162.ts
TVBS新闻台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/163.ts
三立新闻台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/166.ts
台视新闻(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/174.ts
民视新闻台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/164.ts
中视新闻台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/168.ts
华视新闻信息台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/169.ts
寰宇新闻台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/170.ts
寰宇新闻台湾台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/171.ts
年代新闻台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/165.ts
壹电视新闻台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/172.ts
镜电视新闻(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/173.ts
非凡新闻台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/167.ts
三立财经新闻iNEWS(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/370.ts
SBN全球财经台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/371.ts
东森财经新闻台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/369.ts
寰宇财经台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/379.ts
台视财经台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/373.ts
非凡商业台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/372.ts
CNN国际新闻台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/382.ts
CNN头条新闻台(HLN)(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/383.ts
BBCWorldNEWS(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/384.ts
FRANCE24英文台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/386.ts
VOA美国之音(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/389.ts
半岛国际新闻台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/385.ts
CNBCAsia财经台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/390.ts
彭博BloombergTV(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/387.ts
AI倪珍播新闻(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/368.ts
CCTV-13(CN),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/487.ts
CCTV-131080P(CN),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/546.ts
上海第一财经(CN),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/588.ts
CGTN(CN),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/579.ts
TVBNEWS(美),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/444.ts
美国旧金山KTSF-26,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/467.ts
加拿大600新闻(加),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/449.ts
TVB无线新闻海外台,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/454.ts
东森美洲新闻台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/471.ts
TVB娱乐新闻台(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/670.ts
凤凰资讯(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/747.ts
Aljazeera(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/752.ts
BloombergTV(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/756.ts
BBCWorldNews(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/751.ts
CGTN(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/760.ts
CNA亚洲新闻(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/754.ts
CNN(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/750.ts
CNBC(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/755.ts
DWEnglish(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/758.ts
France24(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/759.ts
SkyNews(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/753.ts
ABCAustralia(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/757.ts
CNN(JP),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/874.ts
日テレNEWS24(JP),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/871.ts
BBCワールドニュース(JP),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/873.ts

🐬-体育,#genre#
FightSportsCH642(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/108.ts
Now668(粵)CH668(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/112.ts
Now668(國)CH668(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/113.ts
TVB88跑馬台(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/136.ts
HKC有線18台(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/122.ts
HKC有線18台(低延時)(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/123.ts
TVBmyTVSUPER18台CH018(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/51.ts
ELTA爱尔达体育1台(TW)540P(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/257.ts
ELTA爱尔达体育2台(TW)540P(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/258.ts
ELTA爱尔达体育3台(TW)540P(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/259.ts
ELTA爱尔达体育4台(TW)540P(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/260.ts
ELTA爱尔达体育MAX1台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/261.ts
ELTA爱尔达体育MAX2台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/262.ts
ELTA爱尔达体育MAX3台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/263.ts
ELTA爱尔达体育MAX4台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/264.ts
博斯无限1台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/270.ts
博斯无限2台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/271.ts
博斯网球台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/272.ts
博斯运动1台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/265.ts
博斯运动2台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/266.ts
博斯高球1台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/268.ts
博斯高球2台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/269.ts
博斯魅力台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/267.ts
DAZN1(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/273.ts
DAZN2(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/274.ts
MOMOTVSports(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/336.ts
TRACESportStars(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/335.ts
智林体育台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/337.ts
CCTV-51080P(CN),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/537.ts
CCTV-5P1080P(CN),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/538.ts
五星体育(CN),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/526.ts
广东体育频道(CN),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/527.ts
纬来体育台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/226.ts
ELTA爱尔达体育1台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/253.ts
ELTA爱尔达体育2台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/254.ts
ELTA爱尔达体育3台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/255.ts
ELTA爱尔达体育4台(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/256.ts
纬来体育台H265(TW),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/424.ts
CCTV-5(CN),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/479.ts
CCTV-5P(CN),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/492.ts
HubSports1(SG),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/633.ts
HubSports2(SG),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/634.ts
HubSports3(SG),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/635.ts
HubSports4(SG),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/636.ts
HubSports5(SG),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/637.ts
HubPremier1(SG),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/638.ts
HubPremier2(SG),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/639.ts
HubPremier3(SG),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/640.ts
HubPremier4(SG),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/641.ts
HubPremier5(SG),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/642.ts
HubPremier6(SG),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/643.ts
HubPremier7(SG),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/644.ts
EUROSPORT(SG),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/646.ts
FightSports(SG),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/645.ts
AstroGrandstand(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/687.ts
AstroBadminton(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/688.ts
AstroSportsPlus(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/686.ts
AstroCricket(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/703.ts
AstroFootball(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/689.ts
AstroArena1(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/690.ts
AstroArena2(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/691.ts
AstroArenaBola1(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/692.ts
AstroArenaBola2(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/693.ts
beINSports1(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/697.ts
beINSports2(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/698.ts
bEINSports3(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/699.ts
PremierSports(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/702.ts
PremierLeague1(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/694.ts
PremierLeague2(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/695.ts
WWENetwork(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/700.ts
SPOTV(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/704.ts
SPOTV2(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/705.ts
WSport(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/696.ts
GolfChannel(MY),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/701.ts
JSPORTS1BS242(JP),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/801.ts
JSPORTS2BS243(JP),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/802.ts
JSPORTS3BS244(JP),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/803.ts
JSPORTS4BS245(JP),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/804.ts
ゴルフネットワークGolfNetwork(JP),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/839.ts
GAORASPORTS(JP),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/837.ts
BS釣りビジョンTsuriVision(JP),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/816.ts
KBSNSports(KR),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/937.ts
MBCSports(KR),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/935.ts
SBSSports(KR),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/932.ts
SBSGolf(KR),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/931.ts
JTBCGolf(KR),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/933.ts
JTBCGolf&Sports(KR),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/934.ts
SPOTV(KR),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/939.ts
SPOTV2(KR),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/936.ts
SPOTVGolf&HEALTH(KR),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/930.ts
SPOTVPrime(KR),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/940.ts
SPOTVPrime2(KR),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/941.ts
SKYSports(KR),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/938.ts
NowSports1CH631(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/97.ts
NowSports2CH632(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/98.ts
NowSports3CH633(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/99.ts
NowSports4CH634(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/100.ts
NowSports5CH635(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/101.ts
NowSports6CH636(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/102.ts
NowSports7CH637(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/103.ts
Now英超PremierLeague1台CH621(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/89.ts
Now英超PremierLeague1台(EN)CH621(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/90.ts
Now英超PremierLeague2台CH622(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/91.ts
Now英超PremierLeague3台CH623(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/92.ts
Now英超PremierLeague4台CH624(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/93.ts
Now英超PremierLeague5台CH625(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/94.ts
Now英超PremierLeague6台CH626(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/95.ts
NowSportsCH630(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/96.ts
曼聯電視MUTVCH640(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/107.ts
HKNBATV,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/65070.ts
NowSportsNBACH641,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/65073.ts
beINSPORTS1CH638(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/104.ts
beINSPORTS2CH639(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/105.ts
beINSPORTS3CH643(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/106.ts
NowSports651英足總CH651(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/110.ts
NowSports652英足總CH652(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/111.ts
myTVSUPER直播足球2台CH901(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/137.ts
myTVSUPER直播足球3台CH902(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/138.ts
myTVSUPER直播足球4台CH903(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/139.ts
myTVSUPER直播足球5台CH904(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/140.ts
myTVSUPER直播足球6台CH905(HK),http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/141.ts
USESPN,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1218.ts
USESPN2,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1237.ts
USESPNNews,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1279.ts
USESPNU,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1196.ts
USFoxSports1,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1227.ts
USFoxSports2,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1226.ts
USNBCSports,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1190.ts
USTennis,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1266.ts
USMLBNetwork,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1406.ts
USMLBStrikeZone,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1484.ts
USFoxSoccerPlus,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1187.ts
USBeinSports,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1259.ts
USBeinSportsES,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1234.ts
USNBATV,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1219.ts
USNHLNetwork,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1232.ts
USOutdoor,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1239.ts
USNFLRedZone,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1299.ts
USSecNetwork,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1240.ts
USSportsMan,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1233.ts
USCBSSports,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1168.ts
USBTN,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1202.ts
USNBCSPBAY,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1253.ts
USFishingNetwork,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1255.ts
USWillow,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1270.ts
USNESN,http://iptvpro.pw:35451/live/%E5%8A%A0QQ%E7%BE%A41067462089/344dtg465/1171.ts
